Image,Actual Diameters,Predicted
09-46-10_2.jpg,3.9439,3.7165606
17-35-56.jpg,2.9942,3.3304434
09-54-44_2.jpg,3.4327,3.0935545
09-55-50.jpg,3.4336,3.376464
11-05-42.jpg,5.3501,5.3336
09-41-06_2.jpg,4.5281,5.091746
11-13-13.jpg,4.3147,4.6377287
11-02-15.jpg,5.0553,5.127112
09-55-22.jpg,3.5066,4.4713306
17-37-40.jpg,4.8932,5.298666
09-45-04_1.jpg,4.6817,5.121377
17-48-21.jpg,4.8939,5.6056457
09-44-06_2.jpg,4.6759,4.981085
17-37-19.jpg,4.7523,5.356056
09-56-30_2.jpg,5.1218,5.1067953
17-36-35.jpg,4.8202,5.5493283
12-06-36.jpg,7.4254,4.9771223
09-52-38_2.jpg,4.6044,4.434334
17-48-50.jpg,5.0409,5.167016
10-52-09.jpg,4.3827,3.880285
09-49-37_1.jpg,4.8202,4.554856
18-15-27.jpg,4.3818,3.7175229
17-47-48.jpg,5.3342,5.156561
17-57-47.jpg,5.6536,5.2046003
17-35-44.jpg,3.1416,3.2451246
17-57-24.jpg,5.3359,4.846654
17-48-47.jpg,5.1153,5.0626493
11-11-23.jpg,4.0327,4.7147408
18-15-18.jpg,4.3827,4.18488
17-48-34.jpg,5.3433,5.0948963
17-47-32.jpg,5.3433,5.334588
09-42-05_1.jpg,3.5785,3.7874966
09-46-10_1.jpg,4.163,4.0440574
17-38-30.jpg,4.8453,5.0105915
17-57-01.jpg,5.1922,5.3319516
09-42-05_2.jpg,4.1627,4.325077
18-19-54.jpg,5.1859,4.588402
09-56-30.jpg,4.0959,4.264997
09-55-22_2.jpg,3.5796,3.715943
18-19-42.jpg,4.6845,5.251563
18-18-34.jpg,4.9031,4.7482324
09-41-06_1.jpg,4.236,4.119095
09-57-36_2.jpg,3.6526,3.670686
09-50-11_1.jpg,4.7478,4.9160037
18-19-50.jpg,5.0441,5.1677113
17-40-25.jpg,5.2737,5.13169
11-06-10.jpg,5.3501,5.139547
18-18-25.jpg,4.236,4.7000227
09-49-37_2.jpg,4.5299,4.637412
09-43-07_1.jpg,4.5335,4.8795595
09-53-51_2.jpg,3.9477,5.2909193
11-03-53.jpg,4.6742,5.156683
09-57-36.jpg,3.5081,3.7913299
09-44-06_1.jpg,4.6018,4.394321
17-38-18.jpg,5.2737,5.5200453
09-52-38_1.jpg,4.5359,4.669155
09-54-44.jpg,3.7245,3.739829
09-53-51.jpg,4.6064,4.8930483
10-55-10.jpg,5.3433,5.42746
17-48-45.jpg,4.9679,4.954975
11-09-26.jpg,5.2906,5.0578465
11-05-17.jpg,5.0519,4.7234936
09-45-04_2.jpg,4.3855,4.086383
17-37-04.jpg,4.9062,4.749734
09-49-17_2.jpg,4.5288,4.8056073
18-18-29.jpg,4.4585,4.7511625
17-57-11.jpg,5.2651,5.050947
10-58-55.jpg,6.136,5.343917
17-47-38.jpg,5.259,4.930238
17-35-50.jpg,2.9216,3.8561676
09-49-17_1.jpg,5.3314,4.4912014
10-51-38.jpg,4.9663,4.463522
11-12-47.jpg,6.0855,4.494583
09-50-11_2.jpg,4.8939,4.5017853
17-49-02.jpg,5.5569,5.1529846
09-58-19.jpg,3.3597,3.6611965
09-55-50_2.jpg,3.4336,3.5773537
09-43-07_2.jpg,4.251,4.55902
17-48-16.jpg,5.0409,5.1879196
17-47-41.jpg,5.7696,5.090721
17-36-01.jpg,3.1416,3.5063927
17-36-47.jpg,4.6044,4.656945
11-03-10.jpg,5.1121,4.9287133
17-48-12.jpg,5.411,4.8287783
