File, Actual, Predicted
09-44-06_2.jpg,5.762,6.181558
17-48-21.jpg,6.0306,6.509231
11-13-13.jpg,5.3168,5.7458806
09-41-06_2.jpg,5.5798,6.6361556
11-05-42.jpg,6.5928,6.5326567
09-46-10_2.jpg,4.86,4.8689237
09-45-04_1.jpg,5.7691,6.2973814
09-55-50.jpg,4.2311,4.2984595
17-35-56.jpg,3.6897,3.879537
11-02-15.jpg,6.2295,6.313113
17-37-40.jpg,6.0298,6.2890415
17-37-19.jpg,5.8561,5.9623675
17-36-35.jpg,5.9398,5.9862113
09-55-22.jpg,4.3211,5.1923947
09-56-30_2.jpg,6.3114,6.574334
09-54-44_2.jpg,4.23,4.2891245
17-47-32.jpg,6.5844,6.7893853
09-52-38_2.jpg,5.6739,5.3635945
18-15-27.jpg,5.3996,4.5830812
17-47-48.jpg,6.5732,6.892461
18-15-18.jpg,5.4007,4.863139
17-48-34.jpg,6.5844,6.2122655
17-48-50.jpg,6.2118,6.5403132
17-35-44.jpg,3.8713,4.5309663
11-11-23.jpg,4.9694,5.6076097
10-52-09.jpg,5.4007,4.584221
09-42-05_1.jpg,4.4097,4.5594797
17-57-24.jpg,6.5753,5.9441233
09-49-37_1.jpg,5.9398,5.587614
17-48-47.jpg,6.3034,6.809538
09-46-10_1.jpg,5.1299,4.9691257
17-57-47.jpg,6.9668,7.1679754
12-06-36.jpg,9.15,6.379365
09-55-22_2.jpg,4.4111,5.153461
09-49-37_2.jpg,5.5821,6.0481544
09-57-36_2.jpg,4.501,5.070118
17-57-01.jpg,6.3982,6.6453185
18-18-25.jpg,5.2199,5.545835
17-38-30.jpg,5.9707,7.2481456
18-19-42.jpg,5.7726,7.489806
18-18-34.jpg,6.042,6.4107795
09-56-30.jpg,5.0472,5.614886
09-41-06_1.jpg,5.2199,5.621465
09-50-11_1.jpg,5.8506,6.50456
17-40-25.jpg,6.4987,7.4465146
11-06-10.jpg,6.5928,7.0277843
18-19-50.jpg,6.2157,7.761702
09-43-07_1.jpg,5.5865,5.649368
18-19-54.jpg,6.3905,5.4439197
09-42-05_2.jpg,5.1296,5.5393386
09-53-51_2.jpg,4.8647,7.1651096
09-53-51.jpg,5.6763,6.890363
17-57-11.jpg,6.488,7.3426666
09-54-44.jpg,4.5896,5.099823
11-03-53.jpg,5.7598,6.5490885
09-45-04_2.jpg,5.4041,5.4451113
17-37-04.jpg,6.0458,6.2691183
09-44-06_1.jpg,5.6707,5.6555004
09-52-38_1.jpg,5.5895,5.8950033
11-09-26.jpg,6.5194,6.633773
18-18-29.jpg,5.4941,5.9990387
10-55-10.jpg,6.5844,7.3069525
09-49-17_2.jpg,5.5807,6.3146253
09-57-36.jpg,4.3229,4.7430725
11-05-17.jpg,6.2253,6.553351
17-48-45.jpg,6.1218,6.6866646
17-38-18.jpg,6.4987,7.486615
09-49-17_1.jpg,6.5697,5.9501762
11-03-10.jpg,6.2995,6.092002
17-48-12.jpg,6.6678,5.710745
10-51-38.jpg,6.1198,5.676461
11-12-47.jpg,7.499,6.578446
09-55-50_2.jpg,4.2311,4.178426
17-36-01.jpg,3.8713,4.058311
17-47-38.jpg,6.4805,5.878886
17-35-50.jpg,3.6001,4.2400746
09-50-11_2.jpg,6.0306,5.5968676
10-58-55.jpg,7.5613,6.819743
17-47-41.jpg,7.1097,6.2824187
09-43-07_2.jpg,5.2384,5.5452294
17-48-16.jpg,6.2118,6.23178
17-36-47.jpg,5.6739,5.502403
17-49-02.jpg,6.8476,6.270997
09-58-19.jpg,4.1401,4.363717
