10-55-10.jpg 69.026,63.9265,65.7955, 2.38,37.63,247.93,137.17,
10-58-55.jpg 71.6632,73.4102,88.2523, 5.61,46.37,247.39,126.69,
11-02-15.jpg 61.2762,60.4807,62.1483, 4.53,45.50,250.08,130.18,
11-03-10.jpg 58.5392,61.1604,69.9721, 5.61,48.12,246.32,124.94,
11-03-53.jpg 58.5788,55.9207,60.2891, 5.07,48.99,246.86,109.22,
11-05-17.jpg 57.668,60.44,59.5686, 6.68,35.89,245.78,126.69,
11-05-42.jpg 62.0551,64.0079,61.2195, 6.15,33.26,245.24,138.05,
11-06-10.jpg 62.0341,64.0079,63.0548, 4.00,39.38,249.55,138.05,
11-09-26.jpg 57.8683,63.2952,70.065, 3.46,45.50,247.39,149.41,
11-11-23.jpg 48.3546,48.2468,50.6872, 5.61,39.38,245.24,131.93,
11-12-47.jpg 73.2352,72.8054,69.9989, 4.53,32.39,246.32,174.74,
11-13-13.jpg 50.0916,51.6196,55.9181, 3.46,62.10,246.86,129.31,
12-06-36.jpg 84.168,88.8354,83.9874, 4.53,55.98,244.71,142.42,
17-35-44.jpg 41.9696,37.5854,36.712, 3.46,30.64,250.08,96.11,
17-35-50.jpg 36.7002,34.9529,36.6962, 2.38,35.01,249.55,82.13,
17-35-56.jpg 35.8387,35.8225,35.8225, 5.07,35.89,247.93,89.99,
17-36-01.jpg 39.3321,37.5854,38.4437, 3.46,30.64,248.47,99.60,
17-36-35.jpg 59.4227,57.668,65.5489, 4.00,44.62,244.71,122.32,
17-36-47.jpg 57.668,55.0864,58.601, 6.15,51.61,244.17,125.82,
17-37-04.jpg 58.6602,58.6971,56.8554, 7.22,48.12,243.63,132.81,
17-37-19.jpg 56.0447,56.8554,59.5005, 3.46,55.98,248.47,138.05,
17-37-40.jpg 58.5491,58.5417,60.2891, 5.07,88.31,243.63,111.84,
17-38-18.jpg 61.3516,63.0938,74.2837, 6.15,35.01,244.17,138.05,
17-38-30.jpg 56.0834,57.9682,57.8683, 5.61,48.99,245.78,147.66,
17-40-25.jpg 62.0924,63.0938,70.7795, 5.61,48.99,242.02,152.90,
17-47-32.jpg 61.3116,63.9265,62.0714, 4.53,42.00,244.17,143.29,
17-47-38.jpg 61.1604,62.917,70.7795, 4.00,58.60,237.18,127.56,
17-47-41.jpg 68.2032,69.026,69.026, 3.46,57.73,247.39,130.18,
17-47-48.jpg 65.6371,63.8178,70.7897, 6.15,54.23,246.32,146.78,
17-48-12.jpg 62.0435,64.7358,70.7795, 3.46,45.50,246.86,126.69,
17-48-16.jpg 62.9446,60.3083,69.0323, 6.15,56.85,243.09,135.43,
17-48-21.jpg 55.0549,58.5491,63.802, 5.61,60.35,243.63,125.82,
17-48-34.jpg 61.3116,63.9265,66.4049, 7.22,23.65,240.94,127.56,
17-48-45.jpg 62.9446,59.4349,63.802, 13.14,48.12,235.03,127.56,
17-48-47.jpg 62.9446,61.1982,69.1579, 6.68,42.00,242.02,129.31,
17-48-50.jpg 62.9446,60.3083,62.0551, 8.84,44.62,238.79,122.32,
17-49-02.jpg 62.0551,66.4811,66.4114, 7.76,21.03,242.02,123.19,
17-57-01.jpg 61.1604,62.118,60.373, 7.76,62.10,240.40,128.44,
17-57-11.jpg 63.0938,62.9906,69.8976, 9.37,48.12,240.40,146.78,
17-57-24.jpg 64.7648,63.8382,63.7838, 9.37,65.59,238.79,135.43,
17-57-47.jpg 69.4333,67.6388,70.1042, 5.61,36.76,245.24,173.87,
18-15-18.jpg 51.5607,52.4342,52.4342, 6.15,76.95,245.78,113.58,
18-15-27.jpg 50.6872,52.4232,50.6786, 3.46,97.92,249.01,99.60,
18-18-25.jpg 53.5676,50.6786,51.6196, 4.53,88.31,243.63,127.56,
18-18-29.jpg 54.3412,53.3403,55.1389, 7.76,91.80,241.48,143.29,
18-18-34.jpg 47.1931,58.6602,65.5643, 3.46,74.33,247.93,137.17,
18-19-42.jpg 55.173,56.0447,62.1483, 6.68,40.25,241.48,149.41,
18-19-50.jpg 61.2455,60.3466,62.9285, 8.84,59.48,214.59,138.05,
18-19-54.jpg 62.0341,62.0435,59.4154, 16.90,83.07,233.41,110.96,
